lat,lon,value
56.51124978,26.50375009,1.945574999
56.52791645,26.49541676,1.950890183
56.53624978,26.47875009,2.611066103
56.49458311,26.40375009,3.730118036
56.37791645,26.38708343,12.97920036
56.41958311,26.38708343,6.281365871
56.51958311,26.38708343,4.015746593
56.52791645,26.38708343,4.011048794
56.35291645,26.37875009,22.01578903
56.36958311,26.37875009,18.15206146
56.37791645,26.37875009,16.32177353
56.38624978,26.37875009,11.78144836
56.41124978,26.37875009,6.820330143
56.41958311,26.37875009,6.736769676
56.44458311,26.37875009,5.234577656
56.45291645,26.37875009,5.181564331
56.51958311,26.37875009,4.127831459
56.52791645,26.37875009,4.108045101
56.53624978,26.37875009,4.057844162
56.35291645,26.37041676,23.35068512
56.36124978,26.37041676,23.43119812
56.36958311,26.37041676,20.40929031
56.37791645,26.37041676,16.04163742
56.38624978,26.37041676,12.9192152
56.39458311,26.37041676,11.76639366
56.40291645,26.37041676,12.10263348
56.41124978,26.37041676,10.2181406
56.41958311,26.37041676,8.255507469
56.44458311,26.37041676,6.371495724
56.45291645,26.37041676,5.723241806
56.46124978,26.37041676,5.342198849
56.46958311,26.37041676,5.342707634
56.51958311,26.37041676,5.073303699
56.52791645,26.37041676,4.18381691
56.53624978,26.37041676,4.095346451
56.54458311,26.37041676,4.056270599
56.34458311,26.36208343,17.58120155
56.35291645,26.36208343,19.78199959
56.36124978,26.36208343,22.48017502
56.36958311,26.36208343,19.00290489
56.37791645,26.36208343,15.79773712
56.38624978,26.36208343,13.48393059
56.39458311,26.36208343,12.20187378
56.40291645,26.36208343,12.76084614
56.41124978,26.36208343,11.95746613
56.41958311,26.36208343,11.00707245
56.44458311,26.36208343,6.712926388
56.45291645,26.36208343,6.388415813
56.46124978,26.36208343,5.43134594
56.49458311,26.36208343,7.032750607
56.50291645,26.36208343,7.015144825
56.51124978,26.36208343,6.539916039
56.51958311,26.36208343,5.722518444
56.52791645,26.36208343,4.449145317
56.53624978,26.36208343,4.11262846
56.34458311,26.35375009,15.2934742
56.35291645,26.35375009,16.62803078
56.36124978,26.35375009,16.35090828
56.36958311,26.35375009,14.76819801
56.37791645,26.35375009,14.06350231
56.38624978,26.35375009,12.47500706
56.39458311,26.35375009,15.1415062
56.40291645,26.35375009,18.92392731
56.41124978,26.35375009,19.23067093
56.42791645,26.35375009,9.98693943
56.43624978,26.35375009,8.303544998
56.44458311,26.35375009,8.334961891
56.47791645,26.35375009,5.830307484
56.49458311,26.35375009,8.410023689
56.50291645,26.35375009,7.749353409
56.51124978,26.35375009,7.139194012
56.51958311,26.35375009,6.48143959
56.34458311,26.34541676,13.22583866
56.35291645,26.34541676,13.397542
56.36124978,26.34541676,13.02085209
56.36958311,26.34541676,11.56572151
56.37791645,26.34541676,11.40069389
56.38624978,26.34541676,13.0708971
56.39458311,26.34541676,18.68214607
56.40291645,26.34541676,22.28662109
56.41124978,26.34541676,23.52278519
56.41958311,26.34541676,19.6192894
56.42791645,26.34541676,14.60538006
56.43624978,26.34541676,9.062152863
56.44458311,26.34541676,8.349963188
56.47791645,26.34541676,5.802794933
56.48624978,26.34541676,7.329211235
56.49458311,26.34541676,8.032299995
56.50291645,26.34541676,7.972869873
56.34458311,26.33708343,10.27263737
56.35291645,26.33708343,10.86284256
56.36124978,26.33708343,10.51287174
56.36958311,26.33708343,10.23830605
56.37791645,26.33708343,9.860013962
56.38624978,26.33708343,12.54970169
56.39458311,26.33708343,18.19770432
56.40291645,26.33708343,21.92318535
56.41124978,26.33708343,21.87807655
56.41958311,26.33708343,20.29501152
56.42791645,26.33708343,14.82703495
56.43624978,26.33708343,8.97342205
56.45291645,26.33708343,7.120718479
56.46124978,26.33708343,6.711666584
56.48624978,26.33708343,7.521517754
56.49458311,26.33708343,8.147121429
56.50291645,26.33708343,8.298262596
56.51124978,26.33708343,8.390756607
56.34458311,26.32875009,8.904672623
56.35291645,26.32875009,9.409518242
56.36124978,26.32875009,8.760087967
56.36958311,26.32875009,8.746197701
56.37791645,26.32875009,8.829287529
56.38624978,26.32875009,10.09158325
56.39458311,26.32875009,15.52559566
56.40291645,26.32875009,18.09149551
56.41124978,26.32875009,19.2197361
56.41958311,26.32875009,16.26222038
56.42791645,26.32875009,12.31427574
56.43624978,26.32875009,8.052054405
56.44458311,26.32875009,7.485802174
56.45291645,26.32875009,7.079035282
56.46124978,26.32875009,7.095935345
56.46958311,26.32875009,7.060322762
56.47791645,26.32875009,7.048719406
56.49458311,26.32875009,9.415600777
56.50291645,26.32875009,9.248900414
56.51124978,26.32875009,8.424689293
56.33624978,26.32041676,7.729940891
56.34458311,26.32041676,7.778448582
56.35291645,26.32041676,7.848073483
56.36124978,26.32041676,7.950098515
56.36958311,26.32041676,7.703355312
56.37791645,26.32041676,7.747130871
56.38624978,26.32041676,8.602075577
56.39458311,26.32041676,10.45818901
56.40291645,26.32041676,12.97282505
56.41124978,26.32041676,13.11951065
56.41958311,26.32041676,11.01795959
56.42791645,26.32041676,8.328261375
56.43624978,26.32041676,7.441692352
56.44458311,26.32041676,7.14341259
56.45291645,26.32041676,7.065945625
56.46124978,26.32041676,7.392816067
56.46958311,26.32041676,7.239212036
56.47791645,26.32041676,8.432850838
56.48624978,26.32041676,10.46347332
56.49458311,26.32041676,9.720635414
56.50291645,26.32041676,9.639405251
56.51124978,26.32041676,9.02289772
56.51958311,26.32041676,7.950097084
56.32791645,26.31208343,8.55627346
56.33624978,26.31208343,7.989260197
56.34458311,26.31208343,7.861907482
56.35291645,26.31208343,7.704327583
56.36124978,26.31208343,7.772722721
56.36958311,26.31208343,7.476201057
56.37791645,26.31208343,7.496569157
56.38624978,26.31208343,7.935726643
56.39458311,26.31208343,8.251785278
56.40291645,26.31208343,8.259579659
56.41124978,26.31208343,8.045609474
56.41958311,26.31208343,7.730480194
56.42791645,26.31208343,7.538125515
56.43624978,26.31208343,7.452464104
56.44458311,26.31208343,7.250461102
56.45291645,26.31208343,7.170140743
56.46124978,26.31208343,7.436328411
56.47791645,26.31208343,10.28433609
56.49458311,26.31208343,9.763010979
56.50291645,26.31208343,9.694533348
56.51124978,26.31208343,9.372548103
56.51958311,26.31208343,8.37399292
56.31958311,26.30375009,9.442009926
56.32791645,26.30375009,9.256724358
56.33624978,26.30375009,9.259231567
56.34458311,26.30375009,8.997193336
56.35291645,26.30375009,8.584311485
56.36124978,26.30375009,7.709167957
56.36958311,26.30375009,7.113341808
56.37791645,26.30375009,7.420491219
56.38624978,26.30375009,7.565867424
56.39458311,26.30375009,7.595057487
56.40291645,26.30375009,7.659742355
56.41124978,26.30375009,7.565861225
56.41958311,26.30375009,7.42618084
56.42791645,26.30375009,7.45908308
56.43624978,26.30375009,7.446100235
56.44458311,26.30375009,7.519857883
56.45291645,26.30375009,7.335306644
56.32791645,26.29541676,9.284534454
56.33624978,26.29541676,9.264587402
56.34458311,26.29541676,8.954081535
56.35291645,26.29541676,8.591974258
56.36124978,26.29541676,8.284809113
56.36958311,26.29541676,6.974750519
56.37791645,26.29541676,7.052796364
56.38624978,26.29541676,7.262644291
56.39458311,26.29541676,7.404541969
56.40291645,26.29541676,7.67212534
56.41124978,26.29541676,7.53045845
56.41958311,26.29541676,7.372916222
56.42791645,26.29541676,7.257790565
56.43624978,26.29541676,7.339396954
56.45291645,26.29541676,7.350507259
56.31958311,26.28708343,12.34370422
56.32791645,26.28708343,13.1096468
56.33624978,26.28708343,9.757861137
56.34458311,26.28708343,9.367424011
56.35291645,26.28708343,8.712089539
56.36124978,26.28708343,8.584421158
56.36958311,26.28708343,8.291810036
56.37791645,26.28708343,8.382149696
56.38624978,26.28708343,7.659127235
56.39458311,26.28708343,7.649822712
56.40291645,26.28708343,7.708969116
56.41124978,26.28708343,7.761838913
56.41958311,26.28708343,7.366956711
56.42791645,26.28708343,7.253726959
56.43624978,26.28708343,7.290861607
56.45291645,26.28708343,6.702326775
56.31958311,26.27875009,17.93902397
56.32791645,26.27875009,16.51507378
56.33624978,26.27875009,16.54784012
56.35291645,26.27875009,9.820615768
56.36124978,26.27875009,9.543719292
56.36958311,26.27875009,9.531253815
56.37791645,26.27875009,9.777012825
56.38624978,26.27875009,8.641557693
56.39458311,26.27875009,8.411701202
56.40291645,26.27875009,8.652451515
56.44458311,26.27875009,6.759971619
56.45291645,26.27875009,6.726379395
56.31124978,26.27041676,27.78982162
56.31958311,26.27041676,23.85802269
56.32791645,26.27041676,21.04582024
56.33624978,26.27041676,17.57128143
56.34458311,26.27041676,17.0138092
56.35291645,26.27041676,12.13003826
56.36124978,26.27041676,10.12983322
56.36958311,26.27041676,9.496041298
56.37791645,26.27041676,9.211847305
56.38624978,26.27041676,9.256593704
56.39458311,26.27041676,8.44101429
56.40291645,26.27041676,8.152449608
56.41124978,26.27041676,7.448656559
56.31124978,26.26208343,35.01072693
56.31958311,26.26208343,32.00955963
56.32791645,26.26208343,24.6525116
56.33624978,26.26208343,20.60149956
56.34458311,26.26208343,16.12804604
56.35291645,26.26208343,11.98289204
56.36958311,26.26208343,10.77807808
56.37791645,26.26208343,10.56582069
56.38624978,26.26208343,9.798667908
56.39458311,26.26208343,9.057296753
56.40291645,26.26208343,8.515732765
56.41124978,26.26208343,7.495032787
56.20291645,26.25375009,29.16330528
56.21124978,26.25375009,27.52104187
56.21958311,26.25375009,26.46675301
56.31124978,26.25375009,39.79705429
56.31958311,26.25375009,47.36316681
56.32791645,26.25375009,34.47993851
56.33624978,26.25375009,22.46663284
56.34458311,26.25375009,18.52791595
56.35291645,26.25375009,12.32926178
56.36124978,26.25375009,10.8898983
56.36958311,26.25375009,9.735281944
56.37791645,26.25375009,9.794365883
